DATE_FROM,DATE_TO,GATE_OPEN_TIME,GATE_CLOSURE_TIME,ALLOCATION_DEADLINE,TENDER_TYPE,ROUND,TYPE_OF_RESERVES,PRODUCT,TOTAL_DEMAND_[MW],GERMANY_BLOCK_DEMAND_[MW],GERMANY_BLOCK_EXPORT_LIMIT_[MW],GERMANY_BLOCK_CORE_PORTION_[MW],TRANSNETBW_AREA_CORE_PORTION_[MW],AMPRION_AREA_CORE_PORTION_[MW],50HERTZ_AREA_CORE_PORTION_[MW],TENNET_AREA_CORE_PORTION_[MW],BELGIUM_BLOCK_DEMAND_[MW],BELGIUM_BLOCK_EXPORT_LIMIT_[MW],BELGIUM_BLOCK_CORE_PORTION_[MW],ELIA_AREA_CORE_PORTION_[MW],FRANCE_BLOCK_DEMAND_[MW],FRANCE_BLOCK_EXPORT_LIMIT_[MW],FRANCE_BLOCK_CORE_PORTION_[MW],RTE_AREA_CORE_PORTION_[MW],NETHERLANDS_BLOCK_DEMAND_[MW],NETHERLANDS_BLOCK_EXPORT_LIMIT_[MW],NETHERLANDS_BLOCK_CORE_PORTION_[MW],TTB_AREA_CORE_PORTION_[MW],AUSTRIA_BLOCK_DEMAND_[MW],AUSTRIA_BLOCK_EXPORT_LIMIT_[MW],AUSTRIA_BLOCK_CORE_PORTION_[MW],APG_AREA_CORE_PORTION_[MW],SWITZERLAND_BLOCK_DEMAND_[MW],SWITZERLAND_BLOCK_EXPORT_LIMIT_[MW],SWITZERLAND_BLOCK_CORE_PORTION_[MW],SWISSGRID_AREA_CORE_PORTION_[MW],SLOVENIA_BLOCK_DEMAND_[MW],SLOVENIA_BLOCK_EXPORT_LIMIT_[MW],SLOVENIA_BLOCK_CORE_PORTION_[MW],ELES_AREA_CORE_PORTION_[MW],DENMARK_BLOCK_DEMAND_[MW],DENMARK_BLOCK_EXPORT_LIMIT_[MW],DENMARK_BLOCK_CORE_PORTION_[MW],ENERGINET_AREA_CORE_PORTION_[MW]
11/01/2020,11/01/2020,28/12/2019 11:00,09/01/2020 15:00,09/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
12/01/2020,12/01/2020,29/12/2019 11:00,09/01/2020 15:00,09/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
13/01/2020,13/01/2020,30/12/2019 11:00,10/01/2020 15:00,10/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1382,573,171,172,,,,,47,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
14/01/2020,14/01/2020,31/12/2019 11:00,10/01/2020 15:00,10/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1382,573,171,172,,,,,47,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
15/01/2020,15/01/2020,01/01/2020 11:00,13/01/2020 15:00,13/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1382,573,171,172,,,,,47,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
16/01/2020,16/01/2020,02/01/2020 11:00,14/01/2020 15:00,14/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1382,573,171,172,,,,,47,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
17/01/2020,17/01/2020,03/01/2020 11:00,15/01/2020 15:00,15/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1382,573,171,172,,,,,47,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
18/01/2020,18/01/2020,04/01/2020 11:00,16/01/2020 15:00,16/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1382,573,171,172,,,,,47,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
19/01/2020,19/01/2020,05/01/2020 11:00,16/01/2020 15:00,16/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1382,573,171,172,,,,,47,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
20/01/2020,20/01/2020,06/01/2020 11:00,17/01/2020 15:00,17/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
21/01/2020,21/01/2020,07/01/2020 11:00,17/01/2020 15:00,17/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
22/01/2020,22/01/2020,08/01/2020 11:00,20/01/2020 15:00,20/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
23/01/2020,23/01/2020,09/01/2020 11:00,21/01/2020 15:00,21/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
24/01/2020,24/01/2020,10/01/2020 11:00,22/01/2020 15:00,22/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
25/01/2020,25/01/2020,11/01/2020 11:00,23/01/2020 15:00,23/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
26/01/2020,26/01/2020,12/01/2020 11:00,23/01/2020 15:00,23/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
27/01/2020,27/01/2020,13/01/2020 11:00,24/01/2020 15:00,24/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
28/01/2020,28/01/2020,14/01/2020 11:00,24/01/2020 15:00,24/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
29/01/2020,29/01/2020,15/01/2020 11:00,27/01/2020 15:00,27/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
30/01/2020,30/01/2020,16/01/2020 11:00,28/01/2020 15:00,28/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
31/01/2020,31/01/2020,17/01/2020 11:00,29/01/2020 15:00,29/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
01/02/2020,01/02/2020,18/01/2020 11:00,30/01/2020 15:00,30/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
02/02/2020,02/02/2020,19/01/2020 11:00,30/01/2020 15:00,30/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
03/02/2020,03/02/2020,20/01/2020 11:00,31/01/2020 15:00,31/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
04/02/2020,04/02/2020,21/01/2020 11:00,31/01/2020 15:00,31/01/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
05/02/2020,05/02/2020,22/01/2020 11:00,03/02/2020 15:00,03/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
06/02/2020,06/02/2020,23/01/2020 11:00,04/02/2020 15:00,04/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
07/02/2020,07/02/2020,24/01/2020 11:00,05/02/2020 15:00,05/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
08/02/2020,08/02/2020,25/01/2020 11:00,06/02/2020 15:00,06/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
09/02/2020,09/02/2020,26/01/2020 11:00,06/02/2020 15:00,06/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
10/02/2020,10/02/2020,27/01/2020 11:00,07/02/2020 15:00,07/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
11/02/2020,11/02/2020,28/01/2020 11:00,07/02/2020 15:00,07/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
12/02/2020,12/02/2020,29/01/2020 11:00,10/02/2020 15:00,10/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
13/02/2020,13/02/2020,30/01/2020 11:00,11/02/2020 15:00,11/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
14/02/2020,14/02/2020,31/01/2020 11:00,12/02/2020 15:00,12/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
15/02/2020,15/02/2020,01/02/2020 11:00,13/02/2020 15:00,13/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
16/02/2020,16/02/2020,02/02/2020 11:00,13/02/2020 15:00,13/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
17/02/2020,17/02/2020,03/02/2020 11:00,14/02/2020 15:00,14/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1378,573,171,172,,,,,43,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
18/02/2020,18/02/2020,04/02/2020 11:00,14/02/2020 15:00,14/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1378,573,171,172,,,,,43,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
19/02/2020,19/02/2020,05/02/2020 11:00,17/02/2020 15:00,17/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1378,573,171,172,,,,,43,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
20/02/2020,20/02/2020,06/02/2020 11:00,18/02/2020 15:00,18/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1378,573,171,172,,,,,43,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
21/02/2020,21/02/2020,07/02/2020 11:00,19/02/2020 15:00,19/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1378,573,171,172,,,,,43,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
22/02/2020,22/02/2020,08/02/2020 11:00,20/02/2020 15:00,20/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1378,573,171,172,,,,,43,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
23/02/2020,23/02/2020,09/02/2020 11:00,20/02/2020 15:00,20/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1378,573,171,172,,,,,43,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
24/02/2020,24/02/2020,10/02/2020 11:00,21/02/2020 15:00,21/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
25/02/2020,25/02/2020,11/02/2020 11:00,21/02/2020 15:00,21/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
26/02/2020,26/02/2020,12/02/2020 11:00,24/02/2020 15:00,24/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
27/02/2020,27/02/2020,13/02/2020 11:00,25/02/2020 15:00,25/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
28/02/2020,28/02/2020,14/02/2020 11:00,26/02/2020 15:00,26/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
29/02/2020,29/02/2020,15/02/2020 11:00,27/02/2020 15:00,27/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
01/03/2020,01/03/2020,16/02/2020 11:00,27/02/2020 15:00,27/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1380,573,171,172,,,,,45,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
02/03/2020,02/03/2020,17/02/2020 11:00,28/02/2020 15:00,28/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
03/03/2020,03/03/2020,18/02/2020 11:00,28/02/2020 15:00,28/02/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
04/03/2020,04/03/2020,19/02/2020 11:00,02/03/2020 15:00,02/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
05/03/2020,05/03/2020,20/02/2020 11:00,03/03/2020 15:00,03/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
06/03/2020,06/03/2020,21/02/2020 11:00,04/03/2020 15:00,04/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
07/03/2020,07/03/2020,22/02/2020 11:00,05/03/2020 15:00,05/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
08/03/2020,08/03/2020,23/02/2020 11:00,05/03/2020 15:00,05/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
09/03/2020,09/03/2020,24/02/2020 11:00,06/03/2020 15:00,06/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
10/03/2020,10/03/2020,25/02/2020 11:00,06/03/2020 15:00,06/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
11/03/2020,11/03/2020,26/02/2020 11:00,09/03/2020 15:00,09/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
12/03/2020,12/03/2020,27/02/2020 11:00,10/03/2020 15:00,10/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
13/03/2020,13/03/2020,28/02/2020 11:00,11/03/2020 15:00,11/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
14/03/2020,14/03/2020,29/02/2020 11:00,12/03/2020 15:00,12/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
15/03/2020,15/03/2020,01/03/2020 11:00,12/03/2020 15:00,12/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1389,573,171,172,,,,,54,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
16/03/2020,16/03/2020,02/03/2020 11:00,13/03/2020 15:00,13/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
17/03/2020,17/03/2020,03/03/2020 11:00,13/03/2020 15:00,13/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
18/03/2020,18/03/2020,04/03/2020 11:00,16/03/2020 15:00,16/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
19/03/2020,19/03/2020,05/03/2020 11:00,17/03/2020 15:00,17/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
20/03/2020,20/03/2020,06/03/2020 11:00,18/03/2020 15:00,18/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
21/03/2020,21/03/2020,07/03/2020 11:00,19/03/2020 15:00,19/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
22/03/2020,22/03/2020,08/03/2020 11:00,19/03/2020 15:00,19/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
23/03/2020,23/03/2020,09/03/2020 11:00,20/03/2020 15:00,20/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
24/03/2020,24/03/2020,10/03/2020 11:00,20/03/2020 15:00,20/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
25/03/2020,25/03/2020,11/03/2020 11:00,23/03/2020 15:00,23/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
26/03/2020,26/03/2020,12/03/2020 11:00,24/03/2020 15:00,24/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
27/03/2020,27/03/2020,13/03/2020 11:00,25/03/2020 15:00,25/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
28/03/2020,28/03/2020,14/03/2020 11:00,26/03/2020 15:00,26/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
29/03/2020,29/03/2020,15/03/2020 11:00,26/03/2020 15:00,26/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
30/03/2020,30/03/2020,16/03/2020 11:00,27/03/2020 15:00,27/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
31/03/2020,31/03/2020,17/03/2020 11:00,27/03/2020 15:00,27/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
01/04/2020,01/04/2020,18/03/2020 11:00,30/03/2020 15:00,30/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
02/04/2020,02/04/2020,19/03/2020 11:00,31/03/2020 15:00,31/03/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
03/04/2020,03/04/2020,20/03/2020 11:00,01/04/2020 15:00,01/04/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
04/04/2020,04/04/2020,21/03/2020 11:00,02/04/2020 15:00,02/04/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
05/04/2020,05/04/2020,22/03/2020 11:00,02/04/2020 15:00,02/04/2020 16:00,DAILY,1,FCR,NEGPOS_00_24,1374,573,171,172,,,,,39,100,0,,516,154,155,,113,100,34,,68,100,21,,65,100,20,,,,,,,,,
